lat,long,neighborhoods_sffind_boundaries,address,service_request_id,source,supervisor_district,service_subtype
37.765259732126,-122.480519841004,Golden Gate Park,Intersection of LINCOLN WAY and 22ND AVE,18330073,Mobile/Open311,4.00000,other
37.759720944832,-122.464050091803,Inner Sunset,"1535 7TH AVE, SAN FRANCISCO, CA, 94122",18330048,Mobile/Open311,7.00000,Pavement_Defect
37.756029564385,-122.463418766856,Golden Gate Heights,"1733 7TH AVE, SAN FRANCISCO, CA, 94122",18330044,Mobile/Open311,7.00000,Pavement_Defect
37.754605553086,-122.463673911989,Golden Gate Heights,Intersection of 7TH AVE and LAGUNA HONDA BLVD,18330038,Mobile/Open311,7.00000,Pavement_Defect
37.751535565054,-122.461430579424,Forest Hill,Intersection of CLARENDON AVE and LAGUNA HONDA BLVD,18330036,Mobile/Open311,7.00000,other
37.749209330073,-122.460266835988,Forest Hill,"270 LAGUNA HONDA BLVD, SAN FRANCISCO, CA, 94116",18330028,Mobile/Open311,7.00000,Pavement_Defect
37.751548554650,-122.461493946612,Forest Hill,Intersection of CLARENDON AVE and LAGUNA HONDA BLVD,18330021,Mobile/Open311,7.00000,Pavement_Defect
37.726179768736,-122.445978038013,Sunnyside,Intersection of I-280 S OFF RAMP and I-280 SOUTHBOUND,18329867,Mobile/Open311,11.00000,other
37.736196971742,-122.404199279845,Apparel City,"149 HELENA ST, SAN FRANCISCO, CA, 94124 (Virtual)",18329862,Mobile/Open311,10.00000,other
37.771119173256,-122.489744978920,Golden Gate Park,Intersection of 30TH AVE and JOHN F KENNEDY DR,18329756,Mobile/Open311,4.00000,Pavement_Defect
37.777060086388,-122.477125474693,Inner Richmond,"579 18TH AVE, SAN FRANCISCO, CA, 94121",18329705,Mobile/Open311,1.00000,other
0.000000000000,0.000000000000,Mission Bay,Intersection of 3RD ST and 16TH ST,18329701,Phone,6.00000,Pavement_Defect
0.000000000000,0.000000000000,Mission Dolores,Intersection of DUBOCE AVE and VALENCIA ST,18329590,Phone,9.00000,Pavement_Defect
37.739455768288,-122.406989513597,Apparel City,Intersection of BAY SHORE BLVD and CORTLAND AVE,18329550,Mobile/Open311,10.00000,Pavement_Defect
37.736863810631,-122.408604913292,Bernal Heights,"101 ALEMANY BLVD, SAN FRANCISCO, CA, 94110 (Virtual)",18329446,Mobile/Open311,9.00000,Pavement_Defect
0.000000000000,0.000000000000,Golden Gate Heights,Intersection of 17TH AVE and LAWTON ST,18329330,Phone,7.00000,Pavement_Defect
37.783152000000,-122.402900000000,South of Market,"805 HOWARD ST, SAN FRANCISCO, CA, 94103",18329286,Web,6.00000,Pavement_Defect
37.755157000000,-122.391953000000,Central Waterfront,Intersection of IOWA ST and 23RD ST,18329152,Web,10.00000,Pavement_Defect
